Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	DialID	Reality	Level
f	124	2:51:47	2:51:53	1	0	0	0	2	0	0	0	aemt01	9	2
f	125	2:54:16	2:54:25	1	0	0	0	2	0	0	0	aemt01	9	2
f	126	2:54:29	2:54:33	1	0	0	0	2	0	0	0	aemt01	9	2
f	127	2:55:44	2:55:49	3	2	0	0	2	0	0	0	aemt01	9	2
f	128	2:56:14	2:56:19	5	4	0	0	2	0	0	0	aemt01	9	2
g	129	2:57:47	2:57:48	5	4	0	0	2	0	0	0	aemt01	9	2
f	130	2:58:6	2:58:7	1	0	0	0	2	0	0	0	aemt01	9	2
g	131	2:59:17	2:59:21	4	3	0	0	2	0	0	0	aemt01	9	2
f	132	2:59:28	2:59:36	1	0	0	0	2	0	0	0	aemt01	9	2
f	133	2:59:48	2:59:51	1	0	0	0	2	0	0	0	aemt01	9	2
g	134	3:0:52	3:0:57	8	7	1	0	2	0	0	0	aemt01	9	2
g	135	3:1:2	3:1:5	8	7	3	0	2	0	0	0	aemt01	9	2
