Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	Day	Reality
f	75	1:27:50	1:27:51	7	7	0	0	1	0	0	0	1	8
g	76	1:29:59	1:30:2	1	1	0	0	1	0	0	0	1	8
f	77	1:30:1	1:30:3	2	2	0	0	1	1	1	1	1	8
f	78	1:30:15	1:30:16	1	1	0	0	1	0	0	0	1	8
g	79	1:34:4	1:34:7	17	17	1	0	1	0	0	0	1	8
g	80	1:34:25	1:34:29	2	2	1	0	1	0	0	0	1	8
g	81	1:34:27	1:34:36	3	3	0	0	1	0	0	0	1	8
g	82	1:36:32	1:36:36	1	1	0	0	1	0	0	0	1	8
f	83	1:37:9	1:37:9	7	7	0	0	1	0	0	0	1	8
f	84	1:38:47	1:38:55	9	9	4	0	1	0	0	0	1	8
f	85	1:40:1	1:40:6	9	9	0	0	1	0	0	0	1	8
g	86	1:40:44	1:40:49	7	7	0	1	1	0	0	0	1	8
f	87	1:43:14	1:43:14	3	3	1	0	1	0	0	0	1	8
f	88	1:43:15	1:43:23	1	1	1	0	1	0	0	0	1	8
f	89	1:43:50	1:43:58	15	15	0	2	1	0	0	0	1	8
f	90	1:44:1	1:44:9	1	1	0	0	1	0	0	0	1	8
g	91	1:44:28	1:44:35	8	8	1	0	1	0	0	0	1	8
g	92	1:49:12	1:49:17	15	15	2	0	1	0	0	0	1	8
f	93	1:52:54	1:52:59	1	1	0	0	1	0	0	0	1	8
f	94	1:54:49	1:54:50	1	1	0	0	1	0	0	0	1	8
g	95	1:55:17	1:55:23	1	1	0	0	1	0	0	0	1	8
g	96	1:57:43	1:57:47	1	1	0	0	1	0	0	0	1	8
f	97	1:58:30	1:58:37	1	1	0	0	1	0	0	0	1	8
f	98	1:59:10	1:59:18	1	1	1	0	1	0	0	0	1	8
g	99	1:59:53	1:59:54	4	4	0	0	1	0	0	0	1	8
f	100	2:0:0	2:0:2	1	1	0	0	1	0	0	0	1	8
g	101	2:0:50	2:0:52	11	11	0	0	1	0	0	0	1	8
f	102	2:1:44	2:1:51	11	11	0	0	1	0	0	0	1	8
f	103	2:1:59	2:2:3	5	5	1	0	1	0	0	0	1	8
g	104	2:3:0	2:3:3	2	2	1	0	1	0	0	0	1	8
f	105	2:4:46	2:4:51	1	1	0	0	1	0	0	0	1	8
f	106	2:5:46	2:5:46	6	6	0	1	1	0	0	0	1	8
g	107	2:6:54	2:7:2	1	1	0	0	1	0	0	0	1	8
g	108	2:7:42	2:7:45	2	2	0	0	1	0	0	0	1	8
g	109	2:9:24	2:9:33	1	1	0	0	1	0	0	0	1	8
f	110	2:10:54	2:10:59	7	7	3	1	1	0	0	0	1	8
g	111	2:12:13	2:12:18	8	8	0	0	1	0	0	0	1	8
g	112	2:14:2	2:14:10	13	13	2	2	1	0	0	0	1	8
f	113	2:14:33	2:14:33	1	1	0	1	1	0	0	0	1	8
